"","geneid","theta_Gau1","theta_Gau2","Gamma1","Gamma2","logLik11","logLik21","logLik10","logLik20","Diff","Pvalue","Adjust.Pvalue"
"5960","Zbtb45",201.968923999909,277.559116113797,"2.6555775801431","19.9999374460778",448.258172174531,-258.753308455795,447.807658825609,-282.675632464623,48.7456747155001,2.91400488058805e-12,6.81763228673367e-12
"5961","Chmp2a",692.489271502907,472.557985082198,"2.3812588966127","5.48994599602702",239.432601925415,685.547889140505,228.351365649056,679.922005816415,33.4142392008982,7.44766806140457e-09,1.49439896920504e-08
"5962","Ube2m",536.832235968727,388.962961792057,"0.794419107027503","0.850304669213086",164.559835622555,626.893541361809,160.123938778101,618.14914963076,26.3605771510061,2.83263420081435e-07,5.23529202487021e-07
"5963","Mzf1",201.968923999909,875.756268358143,"19.9997284194816","3.92771913799817",737.339441598057,903.197763376236,733.780542740792,902.311931986575,8.88946049385186,0.00286821471092976,0.00398835459803755
"5964","Vmn1r88",1175.07787713959,277.559116113797,"19.9999373930273","3.41317432903725",1353.02929580692,1519.6474210048,1352.42240229454,1519.44745578202,1.6137174703199,0.203970026674667,0.234460391486859
"5965","Zswim9",201.968923999909,277.559116113797,"1.14017239486036","-0.236028314612973",825.0787349021,219.351348571518,764.549753963172,179.61031128588,200.540036449132,1.59215238796562e-45,9.05296846793307e-45
"5966","Lig1",438.557959216778,277.559116113797,"4.78588275990831","0.0558388576096698",808.628662208521,747.461141077165,747.654242254263,724.149788264565,168.571545533716,1.51761889524527e-38,7.46835489591828e-38
"5967","Vmn1r90",1115.80153688198,400.442744457064,"3.4091784847623","0.89869208571908",1562.5746317467,221.900857953843,1537.15649129456,178.788353315199,137.061290181568,1.16920012057411e-31,4.8604210323866e-31
"5968","Selenow",349.451968590279,347.793229240698,"-0.343109458070657","0.684222686953351",120.98929864926,571.498997414045,95.7883346952046,542.993410551907,107.413101632387,3.61409531428319e-25,1.27733082112931e-24
"5969","Nop53",201.85125696845,1387.32691471856,"3.63420584115572","3.53474487965917",330.917535440565,1598.51788224343,315.770801497837,1596.01653212625,35.2961681198158,2.83188685858795e-09,5.78858440117444e-09
"5970","Ehd2",226.232949009554,437.186630389182,"2.81280387146199","2.68018216450655",995.425875009257,289.59219763948,993.950036893831,287.930787443501,6.27449662280992,0.0122487911516012,0.0160584739596454
"5971","Bicra",201.968923999909,277.559116113797,"2.38839092081505","19.9999373816954",767.549264338263,407.48449272738,766.940559523214,399.807627929029,16.5711392267998,4.68587168686499e-05,7.52429524467106e-05
"5972","Zfp541",2001.32769484924,277.396435374014,"4.97580854335999","2.95994401312802",1458.35547564105,305.699501372646,1458.98127984531,266.867113167284,76.4131680022039,2.30111751636039e-18,6.68210703689455e-18
"5973","Napa",364.100493555861,277.641808882119,"0.652529349243471","-0.594833350787345",159.06907543305,711.811956649891,80.0598448093249,694.081447550242,193.479479446748,5.53185897642366e-44,3.0547195480733e-43
"5974","Kptn",201.968923999909,718.046070401868,"19.9999373899823","4.51413082973843",427.357468477032,937.148425481622,402.840191881456,936.966842260606,49.3977196331841,2.08988434859204e-12,4.91636232814016e-12
"5975","Slc8a2",437.474000210948,460.300008570431,"0.890788760963773","1.40871679280092",269.213239485636,268.487719322043,266.399889582623,265.394856873227,11.8124247036578,0.000588367582910902,0.000869308030695823
"5976","Meis3",201.968923999909,610.899369483855,"19.9999373704919","4.38165549265125",461.012953363725,1424.54244787126,451.450237695619,1424.36854679382,19.4732334910918,1.02019302555346e-05,1.71514223515283e-05
"5977","Dhx34",201.968923999909,277.592766732856,"3.44421703971647","19.9961132606516",795.769047894131,552.813598743791,795.686929865749,552.673536326024,0.444360892297937,0.505025113661804,0.556546427382921
"5978","C5ar2",201.930414838441,394.506497551838,"19.9999373600774","1.34607131736098",1563.3219436875,720.479783492442,1546.34888089028,700.856599142908,73.1924942935075,1.17602133200354e-17,3.33178755024114e-17
"5979","C5ar1",260.613625898202,378.89229076339,"3.54378313459954","0.981336293530219",1225.76599575728,202.848209350632,1213.88515361337,171.915647987003,85.6268070150782,2.17309414878818e-20,6.72415883826701e-20
"5980","Inafm1",219.173365705241,783.999976724468,"3.73964674619708","4.43500953096783",269.164183313411,1339.44581235498,259.829564830289,1339.18350977735,19.1938421215041,1.18093726717527e-05,1.97518522268018e-05
"5981","Ccdc9",201.968923999909,277.559116113797,"19.9999374151549","2.38284324380413",2.88944067103512,1185.0306745883,-61.084386382039,1183.76271472222,130.483573838308,3.21179063482684e-30,1.2906625461453e-29
