"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Hypk",3,"DE_by_Domain",TRUE,FALSE,6.47379961668846e-54
"Sorbs2",3,"DE_by_Domain",TRUE,FALSE,4.08527161762425e-53
"Ell2",2,"DE_by_Domain",TRUE,FALSE,5.11643796805694e-53
"Pqbp1",3,"DE_by_Domain",TRUE,FALSE,5.50061787288037e-53
"Gm10419",2,"DE_by_Domain",TRUE,FALSE,5.57045515575055e-53
"Cyth2",2,"DE_by_Domain",TRUE,FALSE,5.63045171380669e-53
"Lrch1",7,"DE_by_Domain",TRUE,FALSE,9.26413760266466e-53
"Celf5",7,"DE_by_Domain",TRUE,FALSE,1.01666883940834e-52
"Slitrk1",3,"DE_by_Domain",TRUE,FALSE,1.08691489570255e-52
"Sorbs2",1,"DE_by_Domain",TRUE,FALSE,1.2516388877865e-52
"Prmt1",3,"DE_by_Domain",TRUE,FALSE,2.39191289042326e-52
"Glt8d2",2,"DE_by_Domain",TRUE,FALSE,4.32474177523571e-52
"Kdm3a",8,"DE_by_Domain",TRUE,FALSE,7.50153442611323e-52
"Tomm5",2,"DE_by_Domain",TRUE,FALSE,7.5851295116064e-52
"C130074G19Rik",2,"DE_by_Domain",TRUE,FALSE,7.68319633460866e-52
"St13",3,"DE_by_Domain",TRUE,FALSE,8.78862207899633e-52
"Psma2",2,"DE_by_Domain",TRUE,FALSE,1.24465135201125e-51
"Poldip2",2,"DE_by_Domain",TRUE,FALSE,1.40155322474413e-51
"Cyth2",3,"DE_by_Domain",TRUE,FALSE,1.58331090251172e-51
"Rwdd2a",4,"DE_by_Domain",TRUE,FALSE,1.7265439942701e-51
"Ankrd35",2,"DE_by_Domain",TRUE,FALSE,3.50406533073558e-51
"Park7",2,"DE_by_Domain",TRUE,FALSE,3.9445607757103e-51
"Rab35",2,"DE_by_Domain",TRUE,FALSE,1.86630230993487e-50
"Mtln",3,"DE_by_Domain",TRUE,FALSE,2.10772434704145e-50
"Extl3",7,"DE_by_Domain",TRUE,FALSE,2.15249443080423e-50
"Trim28",3,"DE_by_Domain",TRUE,FALSE,4.49242999968843e-50
"Pgbd5",1,"DE_by_Domain",TRUE,FALSE,5.80640881352937e-50
"Cacna1c",7,"DE_by_Domain",TRUE,FALSE,7.84521479541847e-50
"Laptm4b",2,"DE_by_Domain",TRUE,FALSE,3.21460156554814e-49
"Ccdc149",2,"DE_by_Domain",TRUE,FALSE,3.22242851445277e-49
"Pik3r2",4,"DE_by_Domain",TRUE,FALSE,3.48536890617692e-49
