"","x","y"
"30_25",7622,6388.5
"30_26",7621,6613.25
"30_27",7630.2,6866.2
"30_28",7619.5,7063
"30_29",7608.8,7371.8
"30_30",7601.66666666667,7652.66666666667
"30_31",7626.6,7877.6
"30_32",7616.25,8130.25
"30_33",7599,8402
"30_34",7663,8664
"31_11",7877.8,2934
"31_12",7877,3140
"31_13",7876.28571428571,3383.42857142857
"31_14",7875.5,3627
"31_15",7855.2,3844
"31_16",7873.875,4114
"31_17",7892.6,4361
"31_18",7872.28571428571,4619.57142857143
"31_19",7871.16666666667,4863
"31_20",7870.5,5125.25
"31_21",7869.83333333333,5387.5
"31_22",7868.71428571429,5630.85714285714
"31_23",7868.16666666667,5874.5
"31_24",7867.125,6136.625
"31_25",7866.33333333333,6398.83333333333
"31_26",7865.5,6623.5
"31_27",7864.71428571429,6867
"31_28",7864,7114.2
"31_29",7849,7388.57142857143
"31_30",7862.33333333333,7634.83333333333
"31_31",7861.28571428571,7878.28571428571
"31_32",7860.66666666667,8121.83333333333
"31_33",7845.85714285714,8384
"31_34",7858.66666666667,8664.66666666667
"32_11",8122,2963
"32_12",8121.75,3131.5
"32_13",8110.8,3384.4
"32_14",8120,3637
"32_15",8119,3862
"32_16",8128.2,4114.8
"32_17",8117.25,4367.5
"32_18",8106.8,4620.4
"32_19",8116,4873
"32_20",8124.6,5126.2
"32_21",8114,5378.75
"32_22",8103.4,5631.8
"32_23",8112.5,5884.5
"32_24",8111.5,6109.25
"32_25",8120.6,6362.2
"32_26",8110,6615
"32_27",8099.4,6867.8
"32_28",8108.25,7120.75
"32_29",8117.2,7373.4
"32_30",8106.75,7626.25
"32_31",8096,7879
"32_32",8105,8132
"32_33",8120.33333333333,8328.66666666667
"32_34",8055,8553
"33_11",8317.5,2963.5
"33_12",8366,3123
"33_13",8365,3385
"33_14",8364.33333333333,3647.5
"33_15",8363.33333333333,3872
"33_16",8362.71428571429,4115.57142857143
"33_17",8362,4340.2
"33_18",8347,4621
"33_19",8360,4883.5
"33_20",8359.28571428571,5126.71428571429
"33_21",8358.66666666667,5370.33333333333
"33_22",8357.625,5632.5
"33_23",8356.83333333333,5894.66666666667
"33_24",8356,6119.5
"33_25",8355.28571428571,6362.85714285714
"33_26",8354.33333333333,6606.5
"33_27",8353.5,6868.625
"33_28",8352.83333333333,7130.83333333333
"33_29",8351.85714285714,7374.28571428571
"33_30",8351.16666666667,7617.83333333333
"33_31",8350.125,7880
"33_32",8349.33333333333,8142.16666666667
"33_33",8348.57142857143,8385.57142857143
"33_34",8380.33333333333,8592
"34_12",8594,3161
"34_13",8619.2,3386
"34_14",8608.75,3638.75
"34_15",8608,3863.5
"34_16",8597.4,4116.4
"34_17",8606,4369
"34_18",8615.2,4622.2
"34_19",8604.75,4874.75
"34_20",8593.8,5127.8
"34_21",8632.2,5397.4
"34_22",8651,5633.57142857143
"34_23",8650.16666666667,5877
"34_24",8649.16666666667,6101.5
"34_25",8648.5,6364
"34_26",8647.83333333333,6626
"34_27",8646.71428571429,6869.57142857143
"34_28",8646.16666666667,7113
"34_29",8645.125,7375.25
"34_30",8644.33333333333,7637.5
"34_31",8643.42857142857,7880.85714285714
"34_32",8642.66666666667,8124.5
"34_33",8641.875,8386.625
"34_34",8640.83333333333,8648.83333333333
"35_12",8757,3218
"35_13",8756,3386.5
"35_14",8755.5,3611
"35_15",8754.5,3836
"35_16",8753.66666666667,4116.66666666667
"35_17",8753,4398
"35_18",8752,4622.5
"35_19",8751,4847
"35_20",8750.33333333333,5128.33333333333
"35_21",8750,5353
"5_22",1416,5666
"6_19",1653.4,4913.6
"6_20",1613.6,5138.2
"6_21",1632.2,5396.8
"6_22",1612,5629
"6_23",1611.16666666667,5853.5
"6_24",1708,6060
"7_18",1876,4637.33333333333
"7_19",1868.6,4880.6
"7_20",1858,5133.25
"7_21",1847.4,5386.2
"7_22",1856.25,5639
"7_23",1855.5,5864
"7_24",1864.6,6116.6
"8_17",2137.5,4394.66666666667
"8_18",2104,4637.83333333333
"8_19",2103.28571428571,4881.42857142857
"8_20",2102.33333333333,5124.83333333333
"8_21",2087.57142857143,5370.85714285714
"8_22",2114.85714285714,5627.85714285714
"8_23",2099.83333333333,5874
"8_24",2099.28571428571,6117.42857142857
"8_25",2122.75,6328.25
"9_10",2355.25,2606.75
"9_12",2369.66666666667,3121.66666666667
"9_13",2385.33333333333,3374.66666666667
"9_14",2400.66666666667,3608.83333333333
"9_15",2400,3871
"9_16",2399,4151.8
"9_17",2398.28571428571,4376.71428571429
"9_18",2397.33333333333,4620.16666666667
"9_19",2396.5,4882.375
"9_20",2395.83333333333,5144.5
"9_21",2394.83333333333,5369.5
"9_22",2394.14285714286,5612.71428571429
"9_23",2412.6,5871.4
"9_24",2392.5,6118.375
"9_25",2391.66666666667,6380.5
"9_26",2440,6540
"9_9",2405,2410
