"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Magee1",3,"DE_by_Domain",TRUE,FALSE,3.48972904649419e-89
"Smpd3",4,"DE_by_Domain",TRUE,FALSE,4.05863595925513e-89
"Arhgap15",2,"DE_by_Domain",TRUE,FALSE,5.62245919004367e-89
"Zfp991",NA,"LRT_results",FALSE,TRUE,1.38091656127517e-88
"Gm29508",NA,"LRT_results",FALSE,TRUE,3.47680473960023e-88
"Zfp758",NA,"LRT_results",FALSE,TRUE,4.02052639387638e-88
"Tmem255b",NA,"LRT_results",FALSE,TRUE,5.58514950319927e-88
"Pgbd5",4,"DE_by_Domain",TRUE,FALSE,1.87637177782122e-87
"Gsk3a",2,"DE_by_Domain",TRUE,FALSE,2.54975571961988e-87
"Ttc30b",NA,"LRT_results",FALSE,TRUE,4.10289597848443e-87
"Ddx60",NA,"LRT_results",FALSE,TRUE,7.17084263357901e-87
"Slc5a11",NA,"LRT_results",FALSE,TRUE,7.18974573285537e-87
"Sh3gl2",5,"DE_by_Domain",TRUE,FALSE,9.43479829952248e-87
"Cst7",7,"DE_by_Domain",TRUE,FALSE,1.38760981850776e-86
"Rtp4",NA,"LRT_results",FALSE,TRUE,1.79683866290001e-86
"Cep164",NA,"LRT_results",FALSE,TRUE,4.3610209369778e-86
"Olfr624",NA,"LRT_results",FALSE,TRUE,4.38656078811605e-86
"Gsk3a",3,"DE_by_Domain",TRUE,FALSE,5.0651312405216e-86
"0610040F04Rik",NA,"LRT_results",FALSE,TRUE,8.10822876198583e-86
"Tesk2",NA,"LRT_results",FALSE,TRUE,1.03127658868618e-85
"Aldh1l2",NA,"LRT_results",FALSE,TRUE,1.10714977501041e-85
"Cd180",NA,"LRT_results",FALSE,TRUE,1.83165968077439e-85
"Gm29629",NA,"LRT_results",FALSE,TRUE,5.87077507220507e-85
"Gm8369",NA,"LRT_results",FALSE,TRUE,1.44241405407565e-84
"Mgmt",NA,"LRT_results",FALSE,TRUE,2.80819804723652e-84
"Rassf3",7,"DE_by_Domain",TRUE,FALSE,3.30028765233338e-84
"Setdb2",NA,"LRT_results",FALSE,TRUE,3.46481152160986e-84
"Mapk15",NA,"LRT_results",FALSE,TRUE,9.51346358090199e-84
"Cldn1",NA,"LRT_results",FALSE,TRUE,9.6308425485715e-84
"Slc25a23",3,"DE_by_Domain",TRUE,FALSE,2.03328891562017e-83
"Med18",NA,"LRT_results",FALSE,TRUE,3.30608621689051e-83
"C230014O12Rik",NA,"LRT_results",FALSE,TRUE,3.72630570382908e-83
"Ccdc36",NA,"LRT_results",FALSE,TRUE,8.55236849296892e-83
"Prickle4",NA,"LRT_results",FALSE,TRUE,1.00455091715011e-82
"Nup43",NA,"LRT_results",FALSE,TRUE,1.26826190143242e-82
"Idh3b",3,"DE_by_Domain",TRUE,FALSE,1.32878330619004e-82
"Gm48768",NA,"LRT_results",FALSE,TRUE,1.37800264495589e-82
"Snhg10",NA,"LRT_results",FALSE,TRUE,6.13079047037045e-82
"Tgif2",NA,"LRT_results",FALSE,TRUE,6.56217468696554e-82
"Scarf2",NA,"LRT_results",FALSE,TRUE,7.99965791570514e-82
"Syn3",NA,"LRT_results",FALSE,TRUE,8.71704490033871e-82
"Sult6b2",NA,"LRT_results",FALSE,TRUE,8.761462659136e-82
"Dlec1",NA,"LRT_results",FALSE,TRUE,1.18539698989895e-81
"Frem1",NA,"LRT_results",FALSE,TRUE,1.22109338599491e-81
"Tmem28",NA,"LRT_results",FALSE,TRUE,1.33240920847547e-81
"Arrb1",3,"DE_by_Domain",TRUE,FALSE,1.33631389969664e-81
"Asf1a",NA,"LRT_results",FALSE,TRUE,1.77898595578433e-81
"Olfm3",7,"DE_by_Domain",TRUE,FALSE,3.65183879315297e-81
"Hbp1",NA,"LRT_results",FALSE,TRUE,4.02612540555396e-81
"Celf5",3,"DE_by_Domain",TRUE,FALSE,7.17442448903516e-81
"Ttc21a",NA,"LRT_results",FALSE,TRUE,4.37025644634979e-80
"Clec10a",NA,"LRT_results",FALSE,TRUE,5.1744512518646e-80
"Pik3r2",2,"DE_by_Domain",TRUE,FALSE,6.11552181120153e-80
"Ssu72",3,"DE_by_Domain",TRUE,FALSE,6.27044781999895e-80
"L1cam",3,"DE_by_Domain",TRUE,FALSE,7.85644658139771e-80
"Rpusd3",NA,"LRT_results",FALSE,TRUE,7.99876699246905e-80
"2810429I04Rik",NA,"LRT_results",FALSE,TRUE,9.00534798445598e-80
"Gdpgp1",NA,"LRT_results",FALSE,TRUE,1.48122292141741e-79
"Hydin",NA,"LRT_results",FALSE,TRUE,1.54329363629635e-79
"Il1r2",NA,"LRT_results",FALSE,TRUE,2.2146310411578e-79
"Gm35315",NA,"LRT_results",FALSE,TRUE,2.80765951170321e-79
"Poln",NA,"LRT_results",FALSE,TRUE,3.45637636801875e-79
"Cdc42",2,"DE_by_Domain",TRUE,FALSE,3.84827142548487e-79
"Alg8",NA,"LRT_results",FALSE,TRUE,4.05570819525042e-79
"mt-Atp6",NA,"LRT_results",FALSE,TRUE,4.18611760973339e-79
"Gm19409",NA,"LRT_results",FALSE,TRUE,8.94849228716185e-79
"Nemp2",NA,"LRT_results",FALSE,TRUE,1.9305760833212e-78
"Atp6v1h",3,"DE_by_Domain",TRUE,FALSE,1.210177274888e-77
"Tox",2,"DE_by_Domain",TRUE,FALSE,1.67704308761075e-77
"Ascl1",NA,"LRT_results",FALSE,TRUE,1.83019594121096e-77
"Sorbs2",4,"DE_by_Domain",TRUE,FALSE,2.81142125281669e-77
"Sp1",NA,"LRT_results",FALSE,TRUE,3.54477589721844e-77
"Gm49312",NA,"LRT_results",FALSE,TRUE,4.3158359043097e-77
"Prorp",NA,"LRT_results",FALSE,TRUE,4.886300816668e-77
"Inca1",NA,"LRT_results",FALSE,TRUE,7.62275960267314e-77
"Acap3",4,"DE_by_Domain",TRUE,FALSE,9.53702413842003e-77
"Plscr4",NA,"LRT_results",FALSE,TRUE,9.83093408983418e-77
"Gps1",3,"DE_by_Domain",TRUE,FALSE,1.51736634845084e-76
"Gins4",NA,"LRT_results",FALSE,TRUE,2.80988565717931e-76
"Gm6169",NA,"LRT_results",FALSE,TRUE,3.27168904404818e-76
"Tceal5",3,"DE_by_Domain",TRUE,FALSE,3.84089877618582e-76
"Saa2",NA,"LRT_results",FALSE,TRUE,7.72194243901957e-76
"Eml1",7,"DE_by_Domain",TRUE,FALSE,1.08744208099279e-75
"Serpinb6a",NA,"LRT_results",FALSE,TRUE,1.11106131917583e-75
"mt-Co3",NA,"LRT_results",FALSE,TRUE,1.54512386234303e-75
"9130017K11Rik",NA,"LRT_results",FALSE,TRUE,1.88043396020018e-75
"Nfkb1",NA,"LRT_results",FALSE,TRUE,2.57102660234678e-75
"Tmem59",3,"DE_by_Domain",TRUE,FALSE,5.35359651428102e-75
"Cyp4f13",NA,"LRT_results",FALSE,TRUE,7.51871981170417e-75
"Tmem52",NA,"LRT_results",FALSE,TRUE,9.03103899239257e-75
"Chchd1",3,"DE_by_Domain",TRUE,FALSE,1.30704263980654e-74
"C330011M18Rik",NA,"LRT_results",FALSE,TRUE,2.66770937686471e-74
"Zfp518b",NA,"LRT_results",FALSE,TRUE,2.89015279710299e-74
"Aldob",NA,"LRT_results",FALSE,TRUE,3.71354460349583e-74
"Snai1",NA,"LRT_results",FALSE,TRUE,3.99759918164938e-74
"Ddx24",3,"DE_by_Domain",TRUE,FALSE,4.28520122501558e-74
"Stau2",2,"DE_by_Domain",TRUE,FALSE,2.04092888945316e-73
"Gm5532",NA,"LRT_results",FALSE,TRUE,2.15299853233238e-73
"Cldn14",NA,"LRT_results",FALSE,TRUE,3.29196350158905e-73
"2610318N02Rik",NA,"LRT_results",FALSE,TRUE,5.90871720755258e-73
"Zfp146",NA,"LRT_results",FALSE,TRUE,8.98572941368851e-73
"Tmem179",3,"DE_by_Domain",TRUE,FALSE,9.39424055296533e-73
"Rab20",NA,"LRT_results",FALSE,TRUE,1.14230079949683e-72
"Atp5e",2,"DE_by_Domain",TRUE,FALSE,1.20911271720965e-72
"Nwd2",1,"DE_by_Domain",TRUE,FALSE,1.47366651472772e-72
"Hap1",6,"DE_by_Domain",TRUE,FALSE,1.9060093887149e-72
"Cltb",2,"DE_by_Domain",TRUE,FALSE,2.20395040983202e-72
"Gm4814",NA,"LRT_results",FALSE,TRUE,3.30987534893284e-72
"Pdzd2",8,"DE_by_Domain",TRUE,FALSE,4.34699503563721e-72
"Tomm5",3,"DE_by_Domain",TRUE,FALSE,4.35168185628847e-72
"1110004F10Rik",3,"DE_by_Domain",TRUE,FALSE,4.80945967279603e-72
"Psma2",3,"DE_by_Domain",TRUE,FALSE,5.38385151625573e-72
"Zfp830",NA,"LRT_results",FALSE,TRUE,7.27688684106646e-72
"Gimap1",NA,"LRT_results",FALSE,TRUE,1.85164091555962e-71
"Lgi3",7,"DE_by_Domain",TRUE,FALSE,1.90053860676299e-71
"Ehd1",NA,"LRT_results",FALSE,TRUE,2.60436005900103e-71
"Pgbd5",2,"DE_by_Domain",TRUE,FALSE,2.69785605122197e-71
"Gm20109",NA,"LRT_results",FALSE,TRUE,4.35250857320051e-71
"Scn5a",4,"DE_by_Domain",TRUE,FALSE,4.40021520043147e-71
"Ptp4a3",2,"DE_by_Domain",TRUE,FALSE,8.89524441758523e-71
"0610012G03Rik",2,"DE_by_Domain",TRUE,FALSE,9.37784964057375e-71
"Slc9a3r1",7,"DE_by_Domain",TRUE,FALSE,1.09336485077798e-70
"Mogat1",NA,"LRT_results",FALSE,TRUE,1.19308789014174e-70
"Snrpf",3,"DE_by_Domain",TRUE,FALSE,1.41407702730715e-70
"Mrpl33",3,"DE_by_Domain",TRUE,FALSE,3.58871203791632e-70
"Car12",6,"DE_by_Domain",TRUE,FALSE,5.63744226419178e-70
"Tsen54",NA,"LRT_results",FALSE,TRUE,7.0900610816233e-70
"Gstm2",NA,"LRT_results",FALSE,TRUE,7.83382762146086e-70
"Gm16098",NA,"LRT_results",FALSE,TRUE,1.50397188900478e-69
"Vmac",NA,"LRT_results",FALSE,TRUE,1.76790039817196e-69
"Hap1",3,"DE_by_Domain",TRUE,FALSE,2.67030201397525e-69
"Spryd3",3,"DE_by_Domain",TRUE,FALSE,4.98541537317764e-69
"Srp9",3,"DE_by_Domain",TRUE,FALSE,6.19498715284277e-69
"Park7",3,"DE_by_Domain",TRUE,FALSE,6.31660722877499e-69
"1700003M07Rik",NA,"LRT_results",FALSE,TRUE,6.45233663709798e-69
"Atp13a5",NA,"LRT_results",FALSE,TRUE,1.31013108799362e-68
"Gm26684",NA,"LRT_results",FALSE,TRUE,2.86366960377786e-68
"Katna1",NA,"LRT_results",FALSE,TRUE,3.26550345868537e-68
"Gm36560",NA,"LRT_results",FALSE,TRUE,3.64445420258196e-68
"Gbp2",NA,"LRT_results",FALSE,TRUE,4.55901852620821e-68
"Chtop",3,"DE_by_Domain",TRUE,FALSE,5.35151804507576e-68
"Mchr1",6,"DE_by_Domain",TRUE,FALSE,7.67550933829824e-68
"Ripor3",NA,"LRT_results",FALSE,TRUE,1.03128952444263e-67
"Tnfaip8l2",NA,"LRT_results",FALSE,TRUE,1.12395553670928e-67
"Ccdc163",NA,"LRT_results",FALSE,TRUE,3.12462850368461e-67
"Ssu72",2,"DE_by_Domain",TRUE,FALSE,4.32052338351236e-67
